epoch,train_loss,train_cls_loss,train_box_loss,train_quality_loss,train_depth_loss,train_det_loss,val_loss,lr,val_quality_mean,val_raw_score_mean,val_soft_score_mean,val_quality_score_max,val_raw_score_max,val_soft_score_max,calibrated_precision_001,calibrated_recall_001,calibrated_f1_001,calibrated_precision_003,calibrated_recall_003,calibrated_f1_003,calibrated_precision_005,calibrated_recall_005,calibrated_f1_005,calibrated_precision_010,calibrated_recall_010,calibrated_f1_010,calibrated_precision_015,calibrated_recall_015,calibrated_f1_015,calibrated_precision_025,calibrated_recall_025,calibrated_f1_025,softcalibrated_precision_001,softcalibrated_recall_001,softcalibrated_f1_001,softcalibrated_precision_003,softcalibrated_recall_003,softcalibrated_f1_003,softcalibrated_precision_005,softcalibrated_recall_005,softcalibrated_f1_005,softcalibrated_precision_010,softcalibrated_recall_010,softcalibrated_f1_010,softcalibrated_precision_015,softcalibrated_recall_015,softcalibrated_f1_015,softcalibrated_precision_025,softcalibrated_recall_025,softcalibrated_f1_025,raw_precision_001,raw_recall_001,raw_f1_001,raw_precision_003,raw_recall_003,raw_f1_003,raw_precision_005,raw_recall_005,raw_f1_005,raw_precision_010,raw_recall_010,raw_f1_010,raw_precision_015,raw_recall_015,raw_f1_015,raw_precision_025,raw_recall_025,raw_f1_025
1,12.615478661299761,3.1761835446904465,4.870374951100822,4.252015943199729,0.31690421877525643,12.298574442524504,13.128905532585977,4.987317656617528e-05,0.5136752933789315,0.018512041733851025,0.013370327228851652,0.8489584922790527,0.9332091808319092,0.8303052186965942,0.03595369541199997,0.961897401499023,0.06931648679477055,0.1294626833717096,0.8993992242410103,0.22634453881736,0.24095545470107596,0.8415381025985009,0.374640929347879,0.4501014929570039,0.7469159205576132,0.5617094073330812,0.6661788692245545,0.6372597626060836,0.6513985049821507,0.9110597658656808,0.431231590305929,0.5853837170173598,0.027261844778812938,0.9657032867683514,0.05302674236958901,0.08000080796145013,0.9240572778442065,0.14725309197799452,0.1569236399759496,0.8753244480737262,0.2661358255672699,0.345763664106542,0.7897284843535828,0.48095341701781885,0.5071876647065511,0.7156376680568112,0.5936458591637888,0.8328115359126123,0.5314094899238823,0.6488156172943911,0.022994399880175743,0.9670885706786433,0.044920722757570614,0.05184794306766729,0.9427513196651988,0.09829027344070687,0.09387266858883642,0.9063110618565721,0.17012441886086466,0.24816317578681873,0.824973023418589,0.38155068402612685,0.380106251847153,0.7689200618274082,0.5087286847881141,0.657948873090304,0.6342704657470326,0.6458927298645759
2,10.86866819687007,2.2845366656550907,4.141899263923009,4.194505958182851,0.2477263020369446,10.620941894833125,11.892880417815734,4.947361553269776e-05,0.6027182197277334,0.011987483090651129,0.009200839467978162,0.8987153172492981,0.9501765370368958,0.8568682074546814,0.05986785266667478,0.9326606200239144,0.11251342429751673,0.21476667908922167,0.8655399690862959,0.3441414437161733,0.3488255407715751,0.8211525562133629,0.4896484561809281,0.5210416813243143,0.7559275569424597,0.6168821509957102,0.6556773083747579,0.7058823529411765,0.6798542206492659,0.8576350275833496,0.5735367027326548,0.6873880407902899,0.0459330812983987,0.9382892472804689,0.08757882243736058,0.1428067419007343,0.8853568199714194,0.2459432089763843,0.26877913522466107,0.8424421826241651,0.40753516457160593,0.45665565803658514,0.7782816646738021,0.5755866620653955,0.575782452539764,0.7363731809034968,0.6462507118496574,0.7699940912724619,0.6460818338242585,0.7026165556612751,0.036586064033547805,0.9411764705882353,0.07043416248942161,0.09591289709408506,0.9005949429846306,0.17336275062946838,0.1818497219859811,0.8636734812913762,0.30044054874569154,0.38641272610864474,0.8008690833795095,0.5213016880941194,0.5005950095969289,0.7606229403015544,0.6038037250112862,0.6823822049405307,0.6960541281460527,0.6891503645419765
3,10.2841387182348,1.9520619524487306,3.937871825451941,4.166218265839475,0.22798667603264455,10.056152042202156,12.158571266523671,4.880550256256166e-05,0.6134903171167652,0.014055053519548534,0.010686730403296261,0.8750054240226746,0.9580005407333374,0.845606803894043,0.04068090955672763,0.9666802764735046,0.07807613285650435,0.10918774285036578,0.9330251684213596,0.19549731357329128,0.20365767457912848,0.894893406048587,0.3318041614740604,0.44268959031237615,0.8305287409956545,0.5775386971004426,0.6238196663116791,0.7687450785966344,0.6887411162207357,0.8557377049180328,0.6165534136311936,0.7167169542665356,0.032206885148446676,0.9685467642684242,0.0623407657136582,0.07544976988517503,0.9466592784858118,0.13976047826845123,0.13779700566436548,0.9145061098311412,0.23950552220338206,0.3380152724508483,0.8558867275219458,0.4846340577316863,0.5176955117704872,0.806497710636064,0.6306032050076107,0.7629572559027945,0.6931231590305929,0.7263655743090948,0.025033031812176035,0.969713319140249,0.04880613905944278,0.05371991462169028,0.9571291084604392,0.10173011560451756,0.09116876220494022,0.9313044999854181,0.1660794108545677,0.23145092428053818,0.8774534107148065,0.3662848029607626,0.3968732497597201,0.8369593747265887,0.5384308703992946,0.6642257384239194,0.7486365889935548,0.7039096187727514
4,9.77373670788626,1.7367607135527774,3.7176265918048084,4.104638976672834,0.21471041716139286,9.559026290724866,11.476269075146769,4.787617643663973e-05,0.6137897060447879,0.013669870492010424,0.010382160990789948,0.9075254201889038,0.9577697515487671,0.8712939620018005,0.039430004259071526,0.9584852284989355,0.07574406202322184,0.15228893099123533,0.9154101898568053,0.261135064194958,0.28477539257554285,0.873195485432646,0.4294833175545801,0.5366420979281782,0.7973256729563417,0.641512533070529,0.7447627126346245,0.716950042287614,0.7305917753259781,0.9317980088760945,0.566391554142728,0.7045337057761897,0.02829342892920736,0.9604100440374465,0.054967528823046584,0.1004580032938593,0.9339292484470239,0.1814033716266739,0.19666667730742096,0.8983639067922657,0.3226909770872016,0.4260774276836243,0.8277873370468664,0.5625829980377777,0.6176041289599364,0.7712531715710578,0.6859295667792786,0.8812676056338028,0.6386742103881712,0.7406111026564535,0.020500755548074914,0.9608620840502785,0.04014498594340625,0.06322479223554842,0.9477237598063519,0.11854141872882554,0.12846207687987823,0.9206305229082213,0.22546362263099817,0.3241384251630006,0.8575928140219896,0.4704602450213784,0.48770772883144287,0.8088162384438158,0.6084977071768655,0.7659821652851042,0.7114526524541398,0.7377111148071428
5,9.395574194213527,1.60313734828841,3.558131495366972,4.029084573602988,0.2052207694770557,9.190353424736472,11.575315594385385,4.669584519025283e-05,0.5839682272302417,0.02122385142598947,0.015797038560948624,0.881988525390625,0.9631845355033875,0.8735969066619873,0.036284848683221425,0.9537315173962495,0.06990996306492205,0.13191819740804886,0.9018635714077401,0.23016892005046388,0.26965101525791596,0.8460439207909242,0.40895874817177397,0.5850179944017416,0.7680013998658461,0.6641362874040074,0.7494250034731333,0.7079529878386654,0.728098919474209,0.9131888402121282,0.5775175712327568,0.7075606531603957,0.03119431587409743,0.9539648283706145,0.0604131431207224,0.07784566200194173,0.926011257254513,0.1436179956713775,0.17044259278685178,0.8766368223045291,0.28539621880155236,0.4425371268160075,0.7999650033538452,0.5698408164325223,0.646863273478228,0.7490740470704891,0.6942267149575653,0.8517420311341735,0.6366764851701712,0.7286715620827771,0.029021994645152586,0.9534252967423955,0.05632934020822834,0.048452135689447805,0.9393099827933157,0.09215088104545244,0.10019627069577076,0.9074338709207034,0.1804659984137088,0.2919378144887732,0.8307912158418151,0.4320532653865987,0.49558788236814416,0.7829187202893056,0.6069660177711457,0.756817179923169,0.7009536586077167,0.7278150408042758
6,9.202487008834904,1.4495127545352187,3.541080057520094,4.015335450029318,0.19655874449847158,9.005928264336433,10.789825184631578,4.527747398462621e-05,0.6585267278882393,0.01315955455888716,0.01029937420197938,0.8936612606048584,0.9632015228271484,0.8855746984481812,0.052424517577525635,0.969027968153052,0.0994678156042063,0.15210771420987862,0.9192160751261338,0.26102259175831455,0.2820966942998402,0.8802677243430838,0.42726809450334774,0.5580549515714568,0.8233544285339321,0.6652293264529506,0.7026010163690282,0.7842456764560063,0.7411817398794142,0.8476550262600203,0.6707398874274548,0.748890860692103,0.04126678333049417,0.9714194056402928,0.0791703383974002,0.1086347056111518,0.9345708536265275,0.19464395805304416,0.19243840932341208,0.9024468488436524,0.31723038518416,0.4495884454107781,0.8442649246113914,0.5867307127149647,0.6162470888322058,0.8102744320335967,0.7000655126363795,0.7880077916365579,0.7314736504418327,0.7586890105568831,0.03323224916914396,0.9728484353582781,0.06426908319549782,0.07938555977498546,0.9474175391524979,0.14649599668099939,0.13308303188179585,0.9200326635364111,0.23253045572563957,0.30976801674309423,0.8697833124325586,0.4568365021923526,0.5065670370238898,0.8323660649187786,0.6298286458275866,0.7133805541104753,0.7798419318148677,0.7451321885123132
7,8.882846325477667,1.3408566728641365,3.4031579127032834,3.949422140596646,0.18940959144276168,8.693436734034906,10.708671623565522,4.363664269313398e-05,0.6072411679426519,0.010943980705517818,0.008438319945119786,0.9072219729423523,0.9580779075622559,0.8988696336746216,0.08201296998547684,0.9486132578961183,0.15097343448666387,0.2852700983227299,0.899034675843565,0.4331109963716575,0.4003366032574076,0.8706144827787337,0.5484693291688676,0.5728441106799053,0.8286768351366327,0.6774107031105654,0.7239823258437529,0.7860684184432325,0.753749029971266,0.9146745420441393,0.6684067776838053,0.7723856704748424,0.05496551134276845,0.955845898101432,0.10395323610943713,0.21176108311873768,0.9125229665490391,0.34375094412172646,0.33382800734316087,0.8856484586893756,0.4848871928339907,0.5000819636771494,0.8451981685088512,0.6283722619428349,0.6225418648958809,0.8147656682901222,0.7057998749455255,0.8478286493677067,0.7342004724547231,0.7869339272457312,0.037207975437595506,0.960439207909242,0.07164055400288129,0.14258544875772208,0.924873866254484,0.24707930955228416,0.2577768673469814,0.8991367493948497,0.40068100370068327,0.42942243130857793,0.8598530140861501,0.5727871002209864,0.5385150572108197,0.8352095424188515,0.6548225381418665,0.7398807310388519,0.7833707603021377,0.7610049083839163
8,8.540750652370475,1.2564515106084715,3.2179635238262176,3.881009785254766,0.18532582470439818,8.355424827666077,10.459855728575315,4.179137476665299e-05,0.6788229784597503,0.010584050855571946,0.008369399844779751,0.8809077739715576,0.9671605229377747,0.8957806825637817,0.06467613782837356,0.940199480883082,0.12102686159254958,0.17726066439682905,0.9087316632156085,0.2966547263444763,0.2973108931780886,0.8876753477791711,0.4454322613690411,0.5853052447942552,0.8414797748549098,0.6903948651380921,0.7483135108775162,0.8055353028668086,0.775870786516854,0.9009031929779926,0.7228848901980227,0.8021358359289673,0.05209452115712802,0.94633847589606,0.09875284550866131,0.12674108465869802,0.9167225640876082,0.22269374164238714,0.21723286000768316,0.8987867829333023,0.349897109121099,0.4495164733319659,0.8628568928810989,0.5910945733336663,0.65169003419078,0.8282539589955963,0.7294395643910208,0.8489881969621952,0.7751173845839774,0.8103728208919955,0.042268997012670395,0.9513692437808043,0.08094177955792983,0.09220796035968408,0.9242322610749804,0.16768634277784908,0.15558651754970773,0.9086150077284261,0.26567946293615646,0.32735885915217816,0.8796844469071714,0.47715354620306727,0.5081942970476174,0.8518912770859459,0.6366162496730887,0.7638115038115039,0.8035959053923999,0.7831987948382695
9,8.30355730625518,1.161126098038486,3.1436488561742166,3.818773786110711,0.18000856514399488,8.123548741111186,10.894882918914975,3.976193925782746e-05,0.70758284018185,0.011650043579359077,0.009178508437119091,0.8956989645957947,0.9721521735191345,0.9055541157722473,0.04565136430047241,0.9527107818834029,0.08712779654756023,0.176142912024587,0.9092711948438275,0.2951162603588382,0.3300925976900124,0.8743328764326752,0.47925059147004284,0.6096552329344141,0.8104348333284727,0.695851409469078,0.7543147935779817,0.7673160488786491,0.7607598779800201,0.8975737524124621,0.664600892414477,0.7637152719595159,0.03745314927716028,0.9557292426142495,0.0720815638384626,0.10533079747770153,0.9214471113184987,0.1890511243711734,0.22927384083536925,0.8935956137536819,0.36491882058351516,0.49686773638869447,0.8385050599317565,0.623984721310408,0.6643532892574059,0.7956487503280936,0.7240974328009608,0.8513835346526172,0.7245909766980664,0.7828868074647677,0.03132090413808238,0.9573478374989064,0.060657323494330444,0.06761346812740578,0.9323398174341626,0.12608334697274157,0.14299405481129243,0.9094315961387034,0.2471306384218066,0.36228462811944323,0.8615736825220917,0.5100833952034809,0.5504198001692822,0.8249876053544869,0.6602981939135764,0.7652325835335226,0.7664265507888828,0.7658291017972797
10,8.211975617498652,1.1050696687918355,3.11972155185698,3.8102495423919103,0.17693484536687104,8.035040772131781,9.8957763991589,3.757062817887744e-05,0.7428051586293698,0.008782496750595907,0.007150214178425117,0.9277836680412292,0.9739792943000793,0.9163014888763428,0.0960183260979421,0.9614307795502931,0.174599370538723,0.24788994848185902,0.9233573449211118,0.39085000401207326,0.4099782356161457,0.8954621015486016,0.5624461907640453,0.6877054725423407,0.8449356936626906,0.7582556351621029,0.8313930752338838,0.8060310886873341,0.818515666646923,0.9258656185663485,0.7213537869287526,0.8109140384237099,0.07897994080737594,0.9658199422555338,0.14601916234198564,0.18079560656199395,0.9361019568957974,0.30305934337771717,0.3100180594971125,0.9111668465105427,0.46262965787349986,0.5850204821175359,0.8663128116888799,0.6984071004525951,0.7511094674556213,0.8292455306366473,0.7882458936863261,0.8992242787152966,0.7708011315582257,0.8300749046026288,0.06589927686871669,0.969800810755636,0.1234125069586194,0.13587774419511295,0.9453031584473155,0.2376025333714512,0.22333768339741178,0.9258362740237394,0.3598656710073258,0.46707383675761327,0.8854297296509085,0.6115489397273657,0.6512922111167999,0.8532765609962378,0.7387264555875371,0.8469373646126193,0.8038729621744582,0.8248434565980145
